Date,SEPHORAStoreNo,TotalQtySold,TotalGrossSales
{"":"2024-08-18,0744,5,216
{"":"2024-08-18,0746,11,597
{"":"2024-08-18,0750,0,0
{"":"2024-08-18,0754,5,369.5
{"":"2024-08-18,0756,9,339
{"":"2024-08-18,0760,-1,-48
{"":"2024-08-18,0762,14,924
{"":"2024-08-18,0764,0,0
{"":"2024-08-18,0766,15,712.5
{"":"2024-08-18,0768,15,697.5
{"":"2024-08-18,0770,17,884.5
{"":"2024-08-18,0772,25,1563
{"":"2024-08-18,0774,6,349
{"":"2024-08-18,0776,0,0
{"":"2024-08-18,0780,12,535.5
{"":"2024-08-18,0782,12,577
{"":"2024-08-18,0784,12,302
{"":"2024-08-18,0786,7,27
{"":"2024-08-18,0788,6,104
{"":"2024-08-18,0790,16,757
{"":"2024-08-18,0792,0,0
{"":"2024-08-18,0794,13,706.5
{"":"2024-08-18,0796,22,848
{"":"2024-08-18,0798,38,1670
{"":"2024-08-18,0800,262,12860.5
{"":"2024-08-18,0801,0,0
{"":"2024-08-18,0901,0,0
{"":"2024-08-18,0912,16,856.5
{"":"2024-08-18,0914,21,1348
{"":"2024-08-18,0916,10,531
{"":"2024-08-18,0920,14,757
{"":"2024-08-18,0922,36,1904.5
{"":"2024-08-18,0924,7,456
{"":"2024-08-18,0926,6,199
{"":"2024-08-18,0928,44,2298
{"":"2024-08-18,0932,11,967
{"":"2024-08-18,0934,16,695
{"":"2024-08-18,0936,21,1094.5
{"":"2024-08-18,0940,23,893
{"":"2024-08-18,0942,6,244.5
{"":"2024-08-18,0944,40,2281.5
{"":"2024-08-18,0946,42,2157
{"":"2024-08-18,0948,58,2676.5
{"":"2024-08-18,0954,10,649
{"":"2024-08-18,0956,7,325
{"":"2024-08-18,0958,17,848
{"":"2024-08-18,1000,883,43962
{"":"2024-08-18,1001,0,0
{"":"2024-08-18,1010,0,0
{"":"2024-08-18,1020,655,31992
{"":"2024-08-18,1021,0,0
{"":"2024-08-18,1030,0,0
{"":"2024-08-18,1050,0,0
{"":"2024-08-18,1100,16,564
{"":"2024-08-18,1102,10,195
{"":"2024-08-18,1104,22,1316.5
{"":"2024-08-18,1108,9,355.5
{"":"2024-08-18,1114,13,803
{"":"2024-08-18,1116,3,58.5
{"":"2024-08-18,1118,27,1131.5
{"":"2024-08-18,1120,0,0
{"":"2024-08-18,1126,24,1128.5
{"":"2024-08-18,1128,21,1326
{"":"2024-08-18,1130,36,1879
{"":"2024-08-18,1134,20,975
{"":"2024-08-18,1136,-1,-78
{"":"2024-08-18,1138,6,208
{"":"2024-08-18,1140,11,759
{"":"2024-08-18,1142,4,264
{"":"2024-08-18,1144,16,1018.5
{"":"2024-08-18,1146,16,913.5
